ï»¿"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2010","A","2001",90.906763,
"AUS","GDPHRWKD","TOT","IDX2010","A","2002",92.171938,
"AUS","GDPHRWKD","TOT","IDX2010","A","2003",94.156918,
"AUS","GDPHRWKD","TOT","IDX2010","A","2004",93.886964,
"AUS","GDPHRWKD","TOT","IDX2010","A","2005",94.272838,
"AUS","GDPHRWKD","TOT","IDX2010","A","2006",94.818606,
"AUS","GDPHRWKD","TOT","IDX2010","A","2007",95.965075,
"AUS","GDPHRWKD","TOT","IDX2010","A","2008",99.338633,
"AUS","GDPHRWKD","TOT","IDX2010","A","2009",98.378273,
"AUS","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUS","GDPHRWKD","TOT","IDX2010","A","2011",101.117445,
"AUS","GDPHRWKD","TOT","IDX2010","A","2012",103.525614,
"AUS","GDPHRWKD","TOT","IDX2010","A","2013",105.229569,
"AUS","GDPHRWKD","TOT","IDX2010","A","2014",105.835207,
"AUS","GDPHRWKD","TOT","IDX2010","A","2015",108.649396,
"AUS","GDPHRWKD","TOT","IDX2010","A","2016",108.449817,
"AUS","GDPHRWKD","TOT","IDX2010","A","2017",109.716072,
"AUT","GDPHRWKD","TOT","IDX2010","A","2001",87.911811,
"AUT","GDPHRWKD","TOT","IDX2010","A","2002",89.578389,
"AUT","GDPHRWKD","TOT","IDX2010","A","2003",90.28485,
"AUT","GDPHRWKD","TOT","IDX2010","A","2004",92.04853,
"AUT","GDPHRWKD","TOT","IDX2010","A","2005",94.266676,
"AUT","GDPHRWKD","TOT","IDX2010","A","2006",96.772866,
"AUT","GDPHRWKD","TOT","IDX2010","A","2007",99.20132,
"AUT","GDPHRWKD","TOT","IDX2010","A","2008",99.205786,
"AUT","GDPHRWKD","TOT","IDX2010","A","2009",98.509815,
"AUT","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUT","GDPHRWKD","TOT","IDX2010","A","2011",100.992252,
"AUT","GDPHRWKD","TOT","IDX2010","A","2012",102.090246,
"AUT","GDPHRWKD","TOT","IDX2010","A","2013",102.746971,
"AUT","GDPHRWKD","TOT","IDX2010","A","2014",103.115609,
